Brand,Category,Unnamed: 2,text,Predicted_Category
Zara,Shopping,,Bought in Zara for 100,Shopping
H&M,Shopping,,Bought in H&M for 100,Shopping
Forever 21,Shopping,,Bought in Forever 21 for 100,Shopping
Biba,Shopping,,Bought in Biba for 100,Shopping
Pantaloons,Shopping,,Bought in Pantaloons for 100,Shopping
Nike,Shopping,,Bought in Nike for 100,Shopping
Adidas,Shopping,,Bought in Adidas for 100,Shopping
Puma,Shopping,,Bought in Puma for 100,Shopping
Levi's,Shopping,,Bought in Levi's for 100,Shopping
Louis Vuitton,Shopping,,Bought in Louis Vuitton for 100,Shopping
Gucci,Shopping,,Bought in Gucci for 100,Shopping
Mango,Shopping,,Bought in Mango for 100,Food / Dining
Marks & Spencer,Shopping,,Bought in Marks & Spencer for 100,Shopping
Sephora,Shopping,,Bought in Sephora for 100,Shopping
Flipkart,Shopping,,Bought in Flipkart for 100,Shopping
Amazon,Shopping,,Bought in Amazon for 100,Entertainment
Myntra,Shopping,,Bought in Myntra for 100,Shopping
ASOS,Shopping,,Bought in ASOS for 100,Shopping
Shein,Shopping,,Bought in Shein for 100,Shopping
Coach,Shopping,,Bought in Coach for 100,Shopping
Michael Kors,Shopping,,Bought in Michael Kors for 100,Shopping
Prada,Shopping,,Bought in Prada for 100,Shopping
FabIndia,Shopping,,Bought in FabIndia for 100,Shopping
W for Woman,Shopping,,Bought in W for Woman for 100,Shopping
Manyavar,Shopping,,Bought in Manyavar for 100,Shopping
Shoppers Stop,Shopping,,Bought in Shoppers Stop for 100,Shopping
Westside,Shopping,,Bought in Westside for 100,Shopping
Lifestyle,Shopping,,Bought in Lifestyle for 100,Shopping
Reliance Trends,Shopping,,Bought in Reliance Trends for 100,Shopping
Max Fashion,Shopping,,Bought in Max Fashion for 100,Shopping
H&M India,Shopping,,Bought in H&M India for 100,Shopping
Zara India,Shopping,,Bought in Zara India for 100,Shopping
Forever 21,Shopping,,Bought in Forever 21 for 100,Shopping
Marks & Spencer India,Shopping,,Bought in Marks & Spencer India for 100,Shopping
Nike India,Shopping,,Bought in Nike India for 100,Shopping
Adidas India,Shopping,,Bought in Adidas India for 100,Shopping
Puma India,Shopping,,Bought in Puma India for 100,Shopping
Reebok India,Shopping,,Bought in Reebok India for 100,Shopping
Woodland,Shopping,,Bought in Woodland for 100,Shopping
Bata,Shopping,,Bought in Bata for 100,Transport
Clarks India,Shopping,,Bought in Clarks India for 100,Shopping
Fila India,Shopping,,Bought in Fila India for 100,Shopping
Skechers India,Shopping,,Bought in Skechers India for 100,Shopping
Ajio,Shopping,,Bought in Ajio for 100,Shopping
Limeroad,Shopping,,Bought in Limeroad for 100,Shopping
Koovs,Shopping,,Bought in Koovs for 100,Shopping
Nykaa Fashion,Shopping,,Bought in Nykaa Fashion for 100,Shopping
ShopClues,Shopping,,Bought in ShopClues for 100,Shopping
Big Bazaar,Shopping,,Bought in Big Bazaar for 100,Food / Dining
Reliance Digital,Shopping,,Bought in Reliance Digital for 100,Entertainment
Sephora India,Shopping,,Bought in Sephora India for 100,Shopping
Hush Puppies,Shopping,,Bought in Hush Puppies for 100,Shopping
Tommy Hilfiger India,Shopping,,Bought in Tommy Hilfiger India for 100,Shopping
UCB (United Colors of Benetton) India,Shopping,,Bought in UCB (United Colors of Benetton) India for 100,Shopping
Lee India,Shopping,,Bought in Lee India for 100,Shopping
Wrangler India,Shopping,,Bought in Wrangler India for 100,Shopping
Levis India,Shopping,,Bought in Levis India for 100,Shopping
Cotton On,Shopping,,Bought in Cotton On for 100,Shopping
Country Road,Shopping,,Bought in Country Road for 100,Shopping
Witchery,Shopping,,Bought in Witchery for 100,Shopping
Sportsgirl,Shopping,,Bought in Sportsgirl for 100,Shopping
Bonds,Shopping,,Bought in Bonds for 100,Shopping
Big W,Shopping,,Bought in Big W for 100,Shopping
Kmart Australia,Shopping,,Bought in Kmart Australia for 100,Shopping
Myer,Shopping,,Bought in Myer for 100,Shopping
David Jones,Shopping,,Bought in David Jones for 100,Shopping
Target Australia,Shopping,,Bought in Target Australia for 100,Shopping
Peter Alexander,Shopping,,Bought in Peter Alexander for 100,Shopping
Glue Store,Shopping,,Bought in Glue Store for 100,Shopping
The Iconic,Shopping,,Bought in The Iconic for 100,Shopping
ASOS Australia,Shopping,,Bought in ASOS Australia for 100,Shopping
Zara Australia,Shopping,,Bought in Zara Australia for 100,Shopping
H&M Australia,Shopping,,Bought in H&M Australia for 100,Shopping
Forever New,Shopping,,Bought in Forever New for 100,Shopping
Lorna Jane,Shopping,,Bought in Lorna Jane for 100,Shopping
Nike Australia,Shopping,,Bought in Nike Australia for 100,Shopping
Adidas Australia,Shopping,,Bought in Adidas Australia for 100,Shopping
Puma Australia,Shopping,,Bought in Puma Australia for 100,Shopping
Reebok Australia,Shopping,,Bought in Reebok Australia for 100,Shopping
Skechers Australia,Shopping,,Bought in Skechers Australia for 100,Shopping
Platypus Shoes,Shopping,,Bought in Platypus Shoes for 100,Shopping
RM Williams,Shopping,,Bought in RM Williams for 100,Shopping
Just Jeans,Shopping,,Bought in Just Jeans for 100,Shopping
Cotton On Kids,Shopping,,Bought in Cotton On Kids for 100,Shopping
Peter Sheppard,Shopping,,Bought in Peter Sheppard for 100,Shopping
Mimco,Shopping,,Bought in Mimco for 100,Shopping
Oroton,Shopping,,Bought in Oroton for 100,Shopping
Seed Heritage,Shopping,,Bought in Seed Heritage for 100,Shopping
Taobao,Shopping,,Bought in Taobao for 100,Food / Dining
Tmall,Shopping,,Bought in Tmall for 100,Shopping
JD.com,Shopping,,Bought in JD.com for 100,Entertainment
Shein,Shopping,,Bought in Shein for 100,Shopping
Li-Ning,Shopping,,Bought in Li-Ning for 100,Shopping
Anta,Shopping,,Bought in Anta for 100,Shopping
Bosideng,Shopping,,Bought in Bosideng for 100,Shopping
Peacebird,Shopping,,Bought in Peacebird for 100,Shopping
361 Degrees,Shopping,,Bought in 361 Degrees for 100,Utility
Semir,Shopping,,Bought in Semir for 100,Shopping
Charles & Keith,Shopping,,Bought in Charles & Keith for 100,Shopping
Love Bonito,Shopping,,Bought in Love Bonito for 100,Food / Dining
Zalora Singapore,Shopping,,Bought in Zalora Singapore for 100,Shopping
Giordano Singapore,Shopping,,Bought in Giordano Singapore for 100,Shopping
Cotton On Singapore,Shopping,,Bought in Cotton On Singapore for 100,Shopping
Pedro,Shopping,,Bought in Pedro for 100,Shopping
Metro Singapore,Shopping,,Bought in Metro Singapore for 100,Transport
Robinsons Singapore,Shopping,,Bought in Robinsons Singapore for 100,Shopping
Forever 21 SG,Shopping,,Bought in Forever 21 SG for 100,Shopping
StyleNanda,Shopping,,Bought in StyleNanda for 100,Shopping
Mixxmix,Shopping,,Bought in Mixxmix for 100,Entertainment
KAKAO Friends Store,Shopping,,Bought in KAKAO Friends Store for 100,Food / Dining
Musinsa,Shopping,,Bought in Musinsa for 100,Food / Dining
Gentle Monster,Shopping,,Bought in Gentle Monster for 100,Shopping
SPAO,Shopping,,Bought in SPAO for 100,Transport
8Seconds,Shopping,,Bought in 8Seconds for 100,Utility
Uniqlo Korea,Shopping,,Bought in Uniqlo Korea for 100,Shopping
Nike Korea,Shopping,,Bought in Nike Korea for 100,Shopping
Adidas Korea,Shopping,,Bought in Adidas Korea for 100,Shopping
Padini,Shopping,,Bought in Padini for 100,Shopping
Vincci,Shopping,,Bought in Vincci for 100,Shopping
Zalora Malaysia,Shopping,,Bought in Zalora Malaysia for 100,Shopping
Bonia,Shopping,,Bought in Bonia for 100,Shopping
H&M Malaysia,Shopping,,Bought in H&M Malaysia for 100,Shopping
Uniqlo Malaysia,Shopping,,Bought in Uniqlo Malaysia for 100,Shopping
Levi’s Malaysia,Shopping,,Bought in Levi’s Malaysia for 100,Shopping
Brands Outlet Malaysia,Shopping,,Bought in Brands Outlet Malaysia for 100,Shopping
Parkson Malaysia,Shopping,,Bought in Parkson Malaysia for 100,Shopping
Zara UAE,Shopping,,Bought in Zara UAE for 100,Shopping
H&M UAE,Shopping,,Bought in H&M UAE for 100,Shopping
Namshi,Shopping,,Bought in Namshi for 100,Shopping
Splash,Shopping,,Bought in Splash for 100,Shopping
Max Fashion,Shopping,,Bought in Max Fashion for 100,Shopping
Centrepoint,Shopping,,Bought in Centrepoint for 100,Shopping
Lifestyle UAE,Shopping,,Bought in Lifestyle UAE for 100,Shopping
Forever 21 UAE,Shopping,,Bought in Forever 21 UAE for 100,Shopping
Nike UAE,Shopping,,Bought in Nike UAE for 100,Shopping
Adidas UAE,Shopping,,Bought in Adidas UAE for 100,Shopping
Puma UAE,Shopping,,Bought in Puma UAE for 100,Shopping
Reebok UAE,Shopping,,Bought in Reebok UAE for 100,Shopping
Skechers UAE,Shopping,,Bought in Skechers UAE for 100,Shopping
Stradivarius UAE,Shopping,,Bought in Stradivarius UAE for 100,Shopping
Bershka UAE,Shopping,,Bought in Bershka UAE for 100,Shopping
Mango UAE,Shopping,,Bought in Mango UAE for 100,Shopping
Massimo Dutti UAE,Shopping,,Bought in Massimo Dutti UAE for 100,Shopping
The Toy Store,Shopping,,Bought in The Toy Store for 100,Shopping
Choithrams,Shopping,,Bought in Choithrams for 100,Shopping
Carrefour,Shopping,,Bought in Carrefour for 100,Shopping
Sun & Sand Sports,Shopping,,Bought in Sun & Sand Sports for 100,Shopping
Faces,Shopping,,Bought in Faces for 100,Shopping
IKEA,Shopping,,Bought in IKEA for 100,Shopping
Bloomingdale's Dubai,Shopping,,Bought in Bloomingdale's Dubai for 100,Shopping
Harvey Nichols Dubai,Shopping,,Bought in Harvey Nichols Dubai for 100,Shopping
Robinsons Dubai,Shopping,,Bought in Robinsons Dubai for 100,Shopping
Le Marche,Shopping,,Bought in Le Marche for 100,Shopping
Huda Beauty,Shopping,,Bought in Huda Beauty for 100,Shopping
Sephora UAE,Shopping,,Bought in Sephora UAE for 100,Shopping
Zara Europe,Shopping,,Bought in Zara Europe for 100,Shopping
H&M Europe,Shopping,,Bought in H&M Europe for 100,Shopping
Mango Europe,Shopping,,Bought in Mango Europe for 100,Shopping
Topshop,Shopping,,Bought in Topshop for 100,Shopping
Marks & Spencer,Shopping,,Bought in Marks & Spencer for 100,Shopping
Primark,Shopping,,Bought in Primark for 100,Shopping
Bershka Europe,Shopping,,Bought in Bershka Europe for 100,Shopping
Stradivarius Europe,Shopping,,Bought in Stradivarius Europe for 100,Shopping
Massimo Dutti Europe,Shopping,,Bought in Massimo Dutti Europe for 100,Shopping
C&A Europe,Shopping,,Bought in C&A Europe for 100,Shopping
Decathlon Europe,Shopping,,Bought in Decathlon Europe for 100,Shopping
Foot Locker Europe,Shopping,,Bought in Foot Locker Europe for 100,Shopping
Nike Europe,Shopping,,Bought in Nike Europe for 100,Shopping
Adidas Europe,Shopping,,Bought in Adidas Europe for 100,Shopping
Puma Europe,Shopping,,Bought in Puma Europe for 100,Shopping
Reebok Europe,Shopping,,Bought in Reebok Europe for 100,Shopping
Louis Vuitton Europe,Shopping,,Bought in Louis Vuitton Europe for 100,Shopping
Gucci Europe,Shopping,,Bought in Gucci Europe for 100,Shopping
Prada Europe,Shopping,,Bought in Prada Europe for 100,Shopping
Chanel Europe,Shopping,,Bought in Chanel Europe for 100,Shopping
H&M Home,Shopping,,Bought in H&M Home for 100,Shopping
Zalando,Shopping,,Bought in Zalando for 100,Shopping
Woolworths South Africa,Shopping,,Bought in Woolworths South Africa for 100,Shopping
Mr Price,Shopping,,Bought in Mr Price for 100,Shopping
Edgars South Africa,Shopping,,Bought in Edgars South Africa for 100,Shopping
Pick n Pay Clothing,Shopping,,Bought in Pick n Pay Clothing for 100,Shopping
Game Stores,Shopping,,Bought in Game Stores for 100,Shopping
Truworths,Shopping,,Bought in Truworths for 100,Shopping
Superbalist,Shopping,,Bought in Superbalist for 100,Shopping
Jumia Fashion,Shopping,,Bought in Jumia Fashion for 100,Shopping
Zara Africa,Shopping,,Bought in Zara Africa for 100,Shopping
H&M Africa,Shopping,,Bought in H&M Africa for 100,Shopping
Adidas Africa,Shopping,,Bought in Adidas Africa for 100,Shopping
Nike Africa,Shopping,,Bought in Nike Africa for 100,Shopping
PUMA Africa,Shopping,,Bought in PUMA Africa for 100,Shopping
Levi’s Africa,Shopping,,Bought in Levi’s Africa for 100,Shopping
Mr Price Sport,Shopping,,Bought in Mr Price Sport for 100,Shopping
Decathlon Africa,Shopping,,Bought in Decathlon Africa for 100,Shopping
African fashion labels,Shopping,,Bought in African fashion labels for 100,Shopping
McDonald's India,Food / Dining,,Bought in McDonald's India for 100,Food / Dining
KFC India,Food / Dining,,Bought in KFC India for 100,Food / Dining
Domino's Pizza India,Food / Dining,,Bought in Domino's Pizza India for 100,Food / Dining
Pizza Hut India,Food / Dining,,Bought in Pizza Hut India for 100,Food / Dining
Burger King India,Food / Dining,,Bought in Burger King India for 100,Food / Dining
Starbucks India,Food / Dining,,Bought in Starbucks India for 100,Food / Dining
Cafe Coffee Day (CCD),Food / Dining,,Bought in Cafe Coffee Day (CCD) for 100,Food / Dining
Barista India,Food / Dining,,Bought in Barista India for 100,Food / Dining
Haldiram's,Food / Dining,,Bought in Haldiram's for 100,Food / Dining
Bikanervala,Food / Dining,,Bought in Bikanervala for 100,Food / Dining
Rajdhani Thali,Food / Dining,,Bought in Rajdhani Thali for 100,Food / Dining
Saravana Bhavan,Food / Dining,,Bought in Saravana Bhavan for 100,Food / Dining
Sagar Ratna,Food / Dining,,Bought in Sagar Ratna for 100,Food / Dining
Moti Mahal,Food / Dining,,Bought in Moti Mahal for 100,Food / Dining
Paradise Biryani,Food / Dining,,Bought in Paradise Biryani for 100,Food / Dining
Oh! Calcutta,Food / Dining,,Bought in Oh! Calcutta for 100,Food / Dining
Mainland China,Food / Dining,,Bought in Mainland China for 100,Shopping
Theobroma,Food / Dining,,Bought in Theobroma for 100,Food / Dining
Wow! Momo,Food / Dining,,Bought in Wow! Momo for 100,Food / Dining
Faasos,Food / Dining,,Bought in Faasos for 100,Transport
Zomato,Food / Dining,,Bought in Zomato for 100,Food / Dining
Swiggy,Food / Dining,,Bought in Swiggy for 100,Food / Dining
Box8,Food / Dining,,Bought in Box8 for 100,Food / Dining
Behrouz Biryani,Food / Dining,,Bought in Behrouz Biryani for 100,Food / Dining
Cafe Mocha,Food / Dining,,Bought in Cafe Mocha for 100,Food / Dining
Barbeque Nation,Food / Dining,,Bought in Barbeque Nation for 100,Food / Dining
Goli Vada Pav,Food / Dining,,Bought in Goli Vada Pav for 100,Food / Dining
Cream Stone,Food / Dining,,Bought in Cream Stone for 100,Food / Dining
Anand Sweets & Savories,Food / Dining,,Bought in Anand Sweets & Savories for 100,Food / Dining
Kailash Parbat,Food / Dining,,Bought in Kailash Parbat for 100,Food / Dining
Cafe Coffee World,Food / Dining,,Bought in Cafe Coffee World for 100,Food / Dining
Indian Coffee House,Food / Dining,,Bought in Indian Coffee House for 100,Food / Dining
CCD Square,Food / Dining,,Bought in CCD Square for 100,Food / Dining
Barbeque Bistro,Food / Dining,,Bought in Barbeque Bistro for 100,Food / Dining
Smaaash Eats,Food / Dining,,Bought in Smaaash Eats for 100,Food / Dining
Hatti Kaapi,Food / Dining,,Bought in Hatti Kaapi for 100,Food / Dining
Murugan Idli Shop,Food / Dining,,Bought in Murugan Idli Shop for 100,Food / Dining
Saravanaa Bhavan Express,Food / Dining,,Bought in Saravanaa Bhavan Express for 100,Transport
Arya Bhavan,Food / Dining,,Bought in Arya Bhavan for 100,Food / Dining
Evergreen Restaurant,Food / Dining,,Bought in Evergreen Restaurant for 100,Food / Dining
Biryani Blues,Food / Dining,,Bought in Biryani Blues for 100,Food / Dining
Behrouz Express,Food / Dining,,Bought in Behrouz Express for 100,Transport
Oh! Biryani,Food / Dining,,Bought in Oh! Biryani for 100,Food / Dining
PizzaExpress India,Food / Dining,,Bought in PizzaExpress India for 100,Food / Dining
La Pino'z Pizza,Food / Dining,,Bought in La Pino'z Pizza for 100,Food / Dining
Oven Story Pizza,Food / Dining,,Bought in Oven Story Pizza for 100,Food / Dining
Burger Singh,Food / Dining,,Bought in Burger Singh for 100,Food / Dining
Wow! China,Food / Dining,,Bought in Wow! China for 100,Food / Dining
Mainland China Express,Food / Dining,,Bought in Mainland China Express for 100,Transport
Panda Express India,Food / Dining,,Bought in Panda Express India for 100,Food / Dining
Cafe Coffee Day Lounge,Food / Dining,,Bought in Cafe Coffee Day Lounge for 100,Food / Dining
Gloria Jean’s Coffees India,Food / Dining,,Bought in Gloria Jean’s Coffees India for 100,Food / Dining
Dunkin’ Donuts India,Food / Dining,,Bought in Dunkin’ Donuts India for 100,Food / Dining
Krispy Kreme India,Food / Dining,,Bought in Krispy Kreme India for 100,Food / Dining
Chai Point,Food / Dining,,Bought in Chai Point for 100,Food / Dining
Chaayos,Food / Dining,,Bought in Chaayos for 100,Food / Dining
Tea Trails,Food / Dining,,Bought in Tea Trails for 100,Food / Dining
The Belgian Waffle Co,Food / Dining,,Bought in The Belgian Waffle Co for 100,Food / Dining
The Chocolate Room,Food / Dining,,Bought in The Chocolate Room for 100,Food / Dining
Café Coffee Day Insta Brew,Food / Dining,,Bought in Café Coffee Day Insta Brew for 100,Food / Dining
Eat.fit,Food / Dining,,Bought in Eat.fit for 100,Food / Dining
Freshmenu,Food / Dining,,Bought in Freshmenu for 100,Food / Dining
InnerChef,Food / Dining,,Bought in InnerChef for 100,Food / Dining
Box8,Food / Dining,,Bought in Box8 for 100,Food / Dining
EatStreet,Food / Dining,,Bought in EatStreet for 100,Food / Dining
Tandoor,Food / Dining,,Bought in Tandoor for 100,Food / Dining
Kebab Xpress,Food / Dining,,Bought in Kebab Xpress for 100,Food / Dining
Urban Tadka,Food / Dining,,Bought in Urban Tadka for 100,Food / Dining
Theobroma Café,Food / Dining,,Bought in Theobroma Café for 100,Food / Dining
Mad Over Donuts,Food / Dining,,Bought in Mad Over Donuts for 100,Food / Dining
Bake Chef,Food / Dining,,Bought in Bake Chef for 100,Food / Dining
Monginis,Food / Dining,,Bought in Monginis for 100,Food / Dining
Karachi Bakery,Food / Dining,,Bought in Karachi Bakery for 100,Food / Dining
Waffle House,Food / Dining,,Bought in Waffle House for 100,Food / Dining
KFC China,Food / Dining,,Bought in KFC China for 100,Food / Dining
McDonald’s China,Food / Dining,,Bought in McDonald’s China for 100,Food / Dining
Dicos,Food / Dining,,Bought in Dicos for 100,Food / Dining
Haidilao,Food / Dining,,Bought in Haidilao for 100,Food / Dining
Xiabu Xiabu,Food / Dining,,Bought in Xiabu Xiabu for 100,Food / Dining
Yonghe King,Food / Dining,,Bought in Yonghe King for 100,Food / Dining
Luckin Coffee,Food / Dining,,Bought in Luckin Coffee for 100,Food / Dining
Starbucks China,Food / Dining,,Bought in Starbucks China for 100,Food / Dining
Pizza Hut China,Food / Dining,,Bought in Pizza Hut China for 100,Food / Dining
Meituan,Food / Dining,,Bought in Meituan for 100,Food / Dining
Ele.me,Food / Dining,,Bought in Ele.me for 100,Food / Dining
Ya Kun Kaya Toast,Food / Dining,,Bought in Ya Kun Kaya Toast for 100,Food / Dining
Toast Box,Food / Dining,,Bought in Toast Box for 100,Food / Dining
Din Tai Fung,Food / Dining,,Bought in Din Tai Fung for 100,Food / Dining
Jumbo Seafood,Food / Dining,,Bought in Jumbo Seafood for 100,Food / Dining
No Signboard Seafood,Food / Dining,,Bought in No Signboard Seafood for 100,Food / Dining
Song Fa Bak Kut Teh,Food / Dining,,Bought in Song Fa Bak Kut Teh for 100,Food / Dining
McDonald’s Singapore,Food / Dining,,Bought in McDonald’s Singapore for 100,Food / Dining
KFC Singapore,Food / Dining,,Bought in KFC Singapore for 100,Food / Dining
Starbucks Singapore,Food / Dining,,Bought in Starbucks Singapore for 100,Food / Dining
GrabFood,Food / Dining,,Bought in GrabFood for 100,Food / Dining
Deliveroo Singapore,Food / Dining,,Bought in Deliveroo Singapore for 100,Food / Dining
